Tháng,01,02,03,04,05,06,07,08,09,10,11,12
0,"11,012,800",0,0,0,0,0,0,0,0,0,0,0
1,"9,903,800","85,940,750",0,0,0,0,0,0,0,0,0,0
2,"-24,029,500","1,547,750","-10,612,750",0,0,0,0,0,0,0,0,0
3,"-25,627,000","524,500","-14,072,750","23,488,700",0,0,0,0,0,0,0,0
4,"-25,627,000","524,500","-15,128,750","5,097,450","55,295,500",0,0,0,0,0,0,0
5,"-25,627,000","524,500","-15,128,750","5,097,450","9,568,000","54,581,250",0,0,0,0,0,0
6,"-25,627,000","524,500","-15,128,750","3,938,450","5,373,250","33,798,250","61,709,250",0,0,0,0,0
7,"-25,627,000","524,500","-15,128,750","3,938,450","5,085,250","31,377,000","23,128,750","84,368,000",0,0,0,0
8,"-25,627,000","512,500","-15,128,750","3,938,450","5,085,250","31,241,000","18,654,500","71,011,000","123,696,250",0,0,0
9,"-25,627,000","512,500","-15,128,750","3,938,450","5,085,250","31,241,000","17,681,000","69,367,500","69,041,250","77,532,750",0,0
10,"-25,627,000","512,500","-15,887,750","-272,050","3,997,250","30,601,000","17,296,500","68,911,500","66,178,000","64,632,000","90,324,750",0
11,"-25,627,000","512,500","-15,887,750","-272,050","-8,818,000","1,995,000","3,092,250","10,245,500","11,006,000","12,633,250","17,506,000","20,614,000"
