Tháng,"Lượt học/tháng","Doanh số","Chiết khấu","Khoản phải thu","Thu trong kỳ","Nợ trong kỳ","Thu thực tế"
01-2021,11472,"2,032,705,000","47,892,500","1,984,812,500","1,983,214,250","1,598,250","1,155,352,750","173,494,023"
02-2021,6054,"1,158,680,000","120,934,250","1,037,745,750","1,023,853,000","13,892,750","1,007,503,760","185,084,775"
03-2021,11952,"2,259,352,500","45,405,250","2,213,947,250","2,212,427,500","1,519,750","1,960,659,250","105,730,725"
04-2021,10953,"2,059,949,000","36,055,750","2,023,893,250","2,009,334,000","14,559,250","2,261,754,737","69,944,150"
05-2021,10764,"2,088,774,000","309,443,000","1,779,331,000","1,829,820,350","-50,489,350","1,026,878,000","124,747,325"
06-2021,9082,"1,726,037,500","266,558,125","1,459,479,375","1,450,778,750","8,700,625","1,284,536,588","39,609,100"
07-2021,5465,"1,075,460,000","158,895,625","916,564,375","383,910,000","532,654,375","1,366,944,162","10,974,000"
08-2021,11168,"2,166,045,000","235,941,350","1,930,103,650","440,021,500","1,490,082,150",0,0
09-2021,152,"24,320,000","3,648,000","20,672,000",0,"20,672,000",0,0
10-2021,190,"30,400,000",0,"30,400,000",0,"30,400,000",0,0
11-2021,0,0,0,0,0,0,0,0
12-2021,0,0,0,0,0,0,0,0
