Mã(*),"Tên (*)","Tính chất","Đơn vị tính chính","TK doanh thu","TK chi phí"
4,2020_A7.1,2,Ca,3387,632
5,2020_A7.2,2,Ca,3387,632
6,2020_A8.1,2,Ca,3387,632
7,2020_A9.1,2,Ca,3387,632
8,2020_A9.2,2,Ca,3387,632
9,2020_LC,2,Ca,3387,632
10,2020_AC4.2,2,Ca,3387,632
11,2020_AC5.1,2,Ca,3387,632
13,2020_AC5.2,2,Ca,3387,632
14,2020_AC5.3,2,Ca,3387,632
15,2020_AC5.4,2,Ca,3387,632
16,2020_AC7.1,2,Ca,3387,632
17,2020_AC7.3,2,Ca,3387,632
18,2020_AC8.1,2,Ca,3387,632
19,2020_AC8.3,2,Ca,3387,632
20,2020_AC9.1,2,Ca,3387,632
21,2020_AC9.3,2,Ca,3387,632
22,2020_AC9.5,2,Ca,3387,632
23,2020_ACam5.1,2,Ca,3387,632
24,2020_ACam5.2,2,Ca,3387,632
25,2020_ANC7.1,2,Ca,3387,632
26,2020_ANC7.2,2,Ca,3387,632
27,2020_ANC8.1,2,Ca,3387,632
28,2020_ANC8.2,2,Ca,3387,632
29,2020_ANC9.1,2,Ca,3387,632
30,2020_HC8.1,2,Ca,3387,632
32,2020_HC9.1,2,Ca,3387,632
33,2020_HC9.2,2,Ca,3387,632
34,2020_L7.2,2,Ca,3387,632
35,2020_L8.2,2,Ca,3387,632
36,2020_LC8.1,2,Ca,3387,632
37,2020_LC8.2,2,Ca,3387,632
38,2020_LC8.3,2,Ca,3387,632
39,2020_LC9.1,2,Ca,3387,632
40,2020_LC9.2,2,Ca,3387,632
41,2020_LC9.3,2,Ca,3387,632
42,2020_Si9.1,2,Ca,3387,632
43,2020_T1,2,Ca,3387,632
44,2020_TC4.1,2,Ca,3387,632
45,2020_AC4.1,2,Ca,3387,632
46,2020_TC5.5,2,Ca,3387,632
47,2020_Tcam5.1,2,Ca,3387,632
48,2020_TNC3.1,2,Ca,3387,632
50,2020_TNC4.2,2,Ca,3387,632
51,2020_TC8.4,2,Ca,3387,632
52,2020_TNC7.2,2,Ca,3387,632
53,2020_TC9.2,2,Ca,3387,632
54,2020_TC8.2,2,Ca,3387,632
58,2020_TNC9.2,2,Ca,3387,632
60,2020_TC7.2,2,Ca,3387,632
62,2020_TST9.2,2,Ca,3387,632
64,2020_V4.2,2,Ca,3387,632
67,2019_Tcam5.2,2,Ca,3387,632
68,2020_Tcam4.2,2,Ca,3387,632
70,2020_TNC8.2,2,Ca,3387,632
71,2020_TC5.2,2,Ca,3387,632
75,2019_L7.2,2,Ca,3387,632
78,2020_VC5.2,2,Ca,3387,632
79,2020_TC5.4,2,Ca,3387,632
80,2020_AC4.4,2,Ca,3387,632
81,2020_TC5.1,2,Ca,3387,632
82,2020_V3.1,2,Ca,3387,632
83,2020_TC4.3,2,Ca,3387,632
84,2020_TC5.3,2,Ca,3387,632
85,2020_TCam4.1,2,Ca,3387,632
86,2020_TNC4.1,2,Ca,3387,632
87,2020_V4.1,2,Ca,3387,632
88,2020_TC5.7,2,Ca,3387,632
89,2020_TC5.9,2,Ca,3387,632
90,2020_TC5.11,2,Ca,3387,632
91,2020_TNC5.1,2,Ca,3387,632
92,2020_V5.1,2,Ca,3387,632
93,2020_VC5.3,2,Ca,3387,632
94,2020_VC5.5,2,Ca,3387,632
95,2020_VC5.7,2,Ca,3387,632
96,2020_TNC7.1,2,Ca,3387,632
97,2020_TC9.4,2,Ca,3387,632
98,2020_T7.1,2,Ca,3387,632
99,2020_TNC3.2,2,Ca,3387,632
100,2020_V3.2,2,Ca,3387,632
101,2020_TC7.1,2,Ca,3387,632
102,2020_TC7.3,2,Ca,3387,632
104,2020_TC7.7,2,Ca,3387,632
105,2020_TNC7.3,2,Ca,3387,632
106,2020_TNC7.5,2,Ca,3387,632
107,2020_V7.1,2,Ca,3387,632
108,2020_V7.3,2,Ca,3387,632
109,2020_T8.1,2,Ca,3387,632
110,2020_TC9.1,2,Ca,3387,632
111,2020_TC8.3,2,Ca,3387,632
112,2020_TC8.5,2,Ca,3387,632
113,2020_TNC8.1,2,Ca,3387,632
114,2020_TNC8.3,2,Ca,3387,632
115,2020_TNC8.5,2,Ca,3387,632
116,2020_V8.1,2,Ca,3387,632
117,2020_V8.3,2,Ca,3387,632
119,2020_TC9.3,2,Ca,3387,632
120,2020_TC9.5,2,Ca,3387,632
121,2020_TCSP9.1,2,Ca,3387,632
122,2020_TCam9.1,2,Ca,3387,632
123,2020_TNC9.1,2,Ca,3387,632
124,2020_TNC9.3,2,Ca,3387,632
125,2020_TNC9.5,2,Ca,3387,632
126,2020_V9.1,2,Ca,3387,632
127,2020_V9.3,2,Ca,3387,632
128,2020_T11.1,2,Ca,3387,632
129,2020_T12.1,2,Ca,3387,632
130,2020_VC4.1,2,Ca,3387,632
131,2020_VC5.1,2,Ca,3387,632
132,2020_TC8.1,2,Ca,3387,632
133,2020_TC4.4,2,Ca,3387,632
134,2020_TC6.2,2,Ca,3387,632
135,2020_V9.4,2,Ca,3387,632
137,2020_TNC8.4,2,Ca,3387,632
138,2020_TNC9.4,2,Ca,3387,632
139,2020_TNC6.2,2,Ca,3387,632
140,2020_VC4.2,2,Ca,3387,632
141,2020_TCNN9.1,2,Ca,3387,632
142,2020_AC5.5,2,Ca,3387,632
143,2020_TC8.0,2,Ca,3387,632
144,2020_AC9.7,2,Ca,3387,632
145,2020_A9.3,2,Ca,3387,632
148,2020_A5.1,2,Ca,3387,632
150,2020_TC6.1,2,Ca,3387,632
151,2020_TC6.3,2,Ca,3387,632
152,2020_TNC6.1,2,Ca,3387,632
153,2020_TNC6.3,2,Ca,3387,632
154,2020_TC6.5,2,Ca,3387,632
155,2020_V6.1,2,Ca,3387,632
156,2020_A6.1,2,Ca,3387,632
