"Hiển thị trên sổ","Ngày chứng từ (*)","Ngày hạch toán (*)","Số chứng từ (*)","Diễn giải","Hạn thanh toán","Diễn giải (Hạch toán)","TK Nợ (*)","TK Có (*)","Số tiền","Đối tượng Nợ","Đối tượng Có","TK ngân hàng","Khoản mục CP","Đơn vị","Đối tượng THCP","   trình","Hợp đồng bán","CP không hợp lý","Mã thống kê"
,03-28-2022,03-28-2022,DT2275238,"Doanh thu lớp học",,,3387,5111,182750,KH06494,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275239,"Doanh thu lớp học",,,3387,5111,182750,KH05854,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275240,"Doanh thu lớp học",,,3387,5111,182750,KH07390,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275241,"Doanh thu lớp học",,,3387,5111,182750,KH06908,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275242,"Doanh thu lớp học",,,3387,5111,182750,KH07454,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275243,"Doanh thu lớp học",,,3387,5111,182750,KH07503,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275244,"Doanh thu lớp học",,,3387,5111,182750,KH07515,,,,,,,,,VC4.5
,03-28-2022,03-28-2022,DT2275245,"Doanh thu lớp học",,,3387,5111,225250,KH04983,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275246,"Doanh thu lớp học",,,3387,5111,225250,KH04707,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275247,"Doanh thu lớp học",,,3387,5111,225250,KH05187,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275248,"Doanh thu lớp học",,,3387,5111,225250,KH06088,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275249,"Doanh thu lớp học",,,3387,5111,225250,KH04091,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275250,"Doanh thu lớp học",,,3387,5111,225250,KH03885,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275251,"Doanh thu lớp học",,,3387,5111,225250,KH05018,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275252,"Doanh thu lớp học",,,3387,5111,225250,KH06364,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275253,"Doanh thu lớp học",,,3387,5111,225250,KH03296,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275254,"Doanh thu lớp học",,,3387,5111,225250,KH07443,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275255,"Doanh thu lớp học",,,3387,5111,225250,KH07453,,,,,,,,,AC5.5
,03-28-2022,03-28-2022,DT2275256,"Doanh thu lớp học",,,3387,5111,225250,KH05132,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275257,"Doanh thu lớp học",,,3387,5111,225250,KH04462,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275258,"Doanh thu lớp học",,,3387,5111,225250,KH04925,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275259,"Doanh thu lớp học",,,3387,5111,225250,KH04017,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275260,"Doanh thu lớp học",,,3387,5111,225250,KH05581,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275261,"Doanh thu lớp học",,,3387,5111,225250,KH02981,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275262,"Doanh thu lớp học",,,3387,5111,225250,KH02972,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275263,"Doanh thu lớp học",,,3387,5111,225250,KH05476,,,,,,,,,AC5.1
,03-28-2022,03-28-2022,DT2275264,"Doanh thu lớp học",,,3387,5111,225250,KH06092,,,,,,,,,AC5.1
,03-29-2022,03-29-2022,DT2292264,"Doanh thu lớp học",,,3387,5111,102000,KH06831,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292265,"Doanh thu lớp học",,,3387,5111,102000,KH05814,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292266,"Doanh thu lớp học",,,3387,5111,102000,KH06493,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292267,"Doanh thu lớp học",,,3387,5111,102000,KH06813,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292268,"Doanh thu lớp học",,,3387,5111,102000,KH06720,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292269,"Doanh thu lớp học",,,3387,5111,102000,KH06988,,,,,,,,,A3.1
,03-29-2022,03-29-2022,DT2292270,"Doanh thu lớp học",,,3387,5111,136000,KH06398,,,,,,,,,VC4.3
,03-29-2022,03-29-2022,DT2292271,"Doanh thu lớp học",,,3387,5111,136000,KH06826,,,,,,,,,VC4.3
,03-29-2022,03-29-2022,DT2292272,"Doanh thu lớp học",,,3387,5111,136000,KH07064,,,,,,,,,VC4.3
,03-29-2022,03-29-2022,DT2292273,"Doanh thu lớp học",,,3387,5111,136000,KH06965,,,,,,,,,VC4.3
,03-29-2022,03-29-2022,DT2292274,"Doanh thu lớp học",,,3387,5111,136000,KH06267,,,,,,,,,VC4.3
,03-29-2022,03-29-2022,DT2292380,"Doanh thu lớp học",,,3387,5111,182750,KH06453,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292381,"Doanh thu lớp học",,,3387,5111,182750,KH06596,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292382,"Doanh thu lớp học",,,3387,5111,182750,KH03605,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292383,"Doanh thu lớp học",,,3387,5111,182750,KH07322,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292384,"Doanh thu lớp học",,,3387,5111,182750,KH07293,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292385,"Doanh thu lớp học",,,3387,5111,182750,KH06152,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292386,"Doanh thu lớp học",,,3387,5111,182750,KH05177,,,,,,,,,AC4.3
,03-29-2022,03-29-2022,DT2292387,"Doanh thu lớp học",,,3387,5111,102000,KH06699,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292388,"Doanh thu lớp học",,,3387,5111,102000,KH07038,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292389,"Doanh thu lớp học",,,3387,5111,102000,KH06434,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292390,"Doanh thu lớp học",,,3387,5111,102000,KH07100,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292391,"Doanh thu lớp học",,,3387,5111,51000,KH06638,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292392,"Doanh thu lớp học",,,3387,5111,102000,KH06504,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292393,"Doanh thu lớp học",,,3387,5111,102000,KH06993,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292394,"Doanh thu lớp học",,,3387,5111,102000,KH06792,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292395,"Doanh thu lớp học",,,3387,5111,102000,KH07197,,,,,,,,,A5.1
,03-29-2022,03-29-2022,DT2292396,"Doanh thu lớp học",,,3387,5111,136000,KH04983,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292397,"Doanh thu lớp học",,,3387,5111,136000,KH04067,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292398,"Doanh thu lớp học",,,3387,5111,136000,KH03317,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292399,"Doanh thu lớp học",,,3387,5111,136000,KH05187,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292400,"Doanh thu lớp học",,,3387,5111,136000,KH03202,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292401,"Doanh thu lớp học",,,3387,5111,136000,KH04305,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292402,"Doanh thu lớp học",,,3387,5111,136000,KH06662,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292403,"Doanh thu lớp học",,,3387,5111,136000,KH05559,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292404,"Doanh thu lớp học",,,3387,5111,136000,KH05581,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292405,"Doanh thu lớp học",,,3387,5111,136000,KH06931,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292406,"Doanh thu lớp học",,,3387,5111,136000,KH05340,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292407,"Doanh thu lớp học",,,3387,5111,136000,KH03609,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292408,"Doanh thu lớp học",,,3387,5111,136000,KH03610,,,,,,,,,VC5.1
,03-29-2022,03-29-2022,DT2292409,"Doanh thu lớp học",,,3387,5111,136000,KH04683,,,,,,,,,VC5.1
,03-30-2022,03-30-2022,DT2295961,"Doanh thu lớp học",,,3387,5111,182750,KH05633,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295962,"Doanh thu lớp học",,,3387,5111,182750,KH05863,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295963,"Doanh thu lớp học",,,3387,5111,182750,KH07182,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295964,"Doanh thu lớp học",,,3387,5111,182750,KH06094,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295965,"Doanh thu lớp học",,,3387,5111,182750,KH06382,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295966,"Doanh thu lớp học",,,3387,5111,182750,KH05050,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295967,"Doanh thu lớp học",,,3387,5111,215000,KH06321,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295968,"Doanh thu lớp học",,,3387,5111,182750,KH07079,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2295969,"Doanh thu lớp học",,,3387,5111,182750,KH04940,,,,,,,,,VC4.1
,03-30-2022,03-30-2022,DT2296137,"Doanh thu lớp học",,,3387,5111,136000,KH07236,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296138,"Doanh thu lớp học",,,3387,5111,136000,KH07134,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296139,"Doanh thu lớp học",,,3387,5111,136000,KH06099,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296140,"Doanh thu lớp học",,,3387,5111,136000,KH04017,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296141,"Doanh thu lớp học",,,3387,5111,160000,KH06320,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296142,"Doanh thu lớp học",,,3387,5111,136000,KH04926,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296143,"Doanh thu lớp học",,,3387,5111,136000,KH06459,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296144,"Doanh thu lớp học",,,3387,5111,136000,KH05162,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296145,"Doanh thu lớp học",,,3387,5111,136000,KH05622,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296146,"Doanh thu lớp học",,,3387,5111,136000,KH06151,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296147,"Doanh thu lớp học",,,3387,5111,136000,KH06645,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296148,"Doanh thu lớp học",,,3387,5111,136000,KH06001,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296149,"Doanh thu lớp học",,,3387,5111,136000,KH05372,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296150,"Doanh thu lớp học",,,3387,5111,136000,KH07212,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296151,"Doanh thu lớp học",,,3387,5111,136000,KH07257,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296152,"Doanh thu lớp học",,,3387,5111,136000,KH04925,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296153,"Doanh thu lớp học",,,3387,5111,136000,KH07453,,,,,,,,,VC5.3
,03-30-2022,03-30-2022,DT2296154,"Doanh thu lớp học",,,3387,5111,136000,KH06130,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296155,"Doanh thu lớp học",,,3387,5111,136000,KH06210,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296156,"Doanh thu lớp học",,,3387,5111,136000,KH06088,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296157,"Doanh thu lớp học",,,3387,5111,136000,KH06316,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296158,"Doanh thu lớp học",,,3387,5111,136000,KH06098,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296159,"Doanh thu lớp học",,,3387,5111,136000,KH06873,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296160,"Doanh thu lớp học",,,3387,5111,136000,KH06656,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296161,"Doanh thu lớp học",,,3387,5111,136000,KH05592,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296162,"Doanh thu lớp học",,,3387,5111,136000,KH06130,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296163,"Doanh thu lớp học",,,3387,5111,136000,KH06210,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296164,"Doanh thu lớp học",,,3387,5111,136000,KH06088,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296165,"Doanh thu lớp học",,,3387,5111,136000,KH06316,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296166,"Doanh thu lớp học",,,3387,5111,136000,KH06098,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296167,"Doanh thu lớp học",,,3387,5111,136000,KH06873,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296168,"Doanh thu lớp học",,,3387,5111,136000,KH06656,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296169,"Doanh thu lớp học",,,3387,5111,136000,KH05592,,,,,,,,,TNC5.3
,03-30-2022,03-30-2022,DT2296170,"Doanh thu lớp học",,,3387,5111,225250,KH04566,,,,,,,,,AC5.7
,03-30-2022,03-30-2022,DT2296171,"Doanh thu lớp học",,,3387,5111,225250,KH05837,,,,,,,,,AC5.7
,03-30-2022,03-30-2022,DT2296172,"Doanh thu lớp học",,,3387,5111,225250,KH05988,,,,,,,,,AC5.7
,03-30-2022,03-30-2022,DT2296173,"Doanh thu lớp học",,,3387,5111,225250,KH06131,,,,,,,,,AC5.7
,03-30-2022,03-30-2022,DT2296174,"Doanh thu lớp học",,,3387,5111,225250,KH05340,,,,,,,,,AC5.7
,03-30-2022,03-30-2022,DT2296175,"Doanh thu lớp học",,,3387,5111,225250,KH06553,,,,,,,,,AC5.7
,03-31-2022,03-31-2022,DT2303983,"Doanh thu lớp học",,,3387,5111,182750,KH06801,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303984,"Doanh thu lớp học",,,3387,5111,182750,KH06745,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303985,"Doanh thu lớp học",,,3387,5111,182750,KH05718,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303986,"Doanh thu lớp học",,,3387,5111,182750,KH05863,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303987,"Doanh thu lớp học",,,3387,5111,182750,KH07182,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303988,"Doanh thu lớp học",,,3387,5111,182750,KH05180,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303989,"Doanh thu lớp học",,,3387,5111,182750,KH06277,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303990,"Doanh thu lớp học",,,3387,5111,182750,KH07211,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303991,"Doanh thu lớp học",,,3387,5111,182750,KH06026,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303992,"Doanh thu lớp học",,,3387,5111,182750,KH06094,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303993,"Doanh thu lớp học",,,3387,5111,182750,KH06382,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303994,"Doanh thu lớp học",,,3387,5111,182750,KH07327,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303995,"Doanh thu lớp học",,,3387,5111,182750,KH06613,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303996,"Doanh thu lớp học",,,3387,5111,182750,KH07503,,,,,,,,,AC4.1
,03-31-2022,03-31-2022,DT2303997,"Doanh thu lớp học",,,3387,5111,272000,KH06885,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2303998,"Doanh thu lớp học",,,3387,5111,272000,KH04881,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2303999,"Doanh thu lớp học",,,3387,5111,272000,KH03401,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304000,"Doanh thu lớp học",,,3387,5111,272000,KH07038,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304001,"Doanh thu lớp học",,,3387,5111,272000,KH07062,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304002,"Doanh thu lớp học",,,3387,5111,272000,KH06834,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304003,"Doanh thu lớp học",,,3387,5111,272000,KH07237,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304004,"Doanh thu lớp học",,,3387,5111,272000,KH06744,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304005,"Doanh thu lớp học",,,3387,5111,272000,KH06749,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304006,"Doanh thu lớp học",,,3387,5111,272000,KH06504,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304007,"Doanh thu lớp học",,,3387,5111,272000,KH06993,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304008,"Doanh thu lớp học",,,3387,5111,272000,KH06792,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304009,"Doanh thu lớp học",,,3387,5111,272000,KH06553,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304010,"Doanh thu lớp học",,,3387,5111,272000,KH05373,,,,,,,,,VC5.7
,03-31-2022,03-31-2022,DT2304011,"Doanh thu lớp học",,,3387,5111,272000,KH05078,,,,,,,,,VC5.7
